Company,items,industry,description
AJ네트웍스,"렌탈(파렛트, OA장비, 건설장비)",산업용 기계 및 장비 임대업,"기업개요
동사가 영위하는 사업은 렌탈 사업부문, 창고 및 유통부문, 그리고 기타부문으로 구분됨.
렌탈 사업부문에서 취급하는 상품은 파렛트, IT기기, 건설산업장비 등이 있음. 창고 및 유통부문에서는 연결종속회사인 베트남 현지법인 2개사를 통하여 베트남에서 냉장/냉동 창고임대업을 영위하고 있음.
그 외 기타부문에서는 연결종속회사를 통하여 자동차 정비, 부동산 관리업 등을 영위하고 있음.
출처 : 에프앤가이드"
HDC현대산업개발,"외주주택, 자체공사, 일반건축, 토목 등",건물 건설업,"기업개요
동사는 현대산업개발의 사업 중 건설사업, PC사업업, 호텔 및 콘도 사업부문을 인적분할의 방식으로 분할하여 2018년 5월 설립되었음.
종합건설회사인 동사는 도급방식의 건설공사를 수행하고 있을 뿐만 아니라 수익성을 제고시킬 수 있는 개발형 건설 사업까지 아우름.
사업부문은 건설부문(자체공사, 외주주택, 일반건축, 토목 등)와 기타부문( PC사업, 호텔 및 콘도, 주거용건물 개발, 공급)으로 구성됨.
출처 : 에프앤가이드"
HD한국조선해양,"선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",기타 금융업,"기업개요
동사는 독점규제 및 공정거래에 관한 법률에 따라 설립된 지주회사로서, 지배기업인 동사와 종속기업(20개사)으로 이루어짐.
조선사업은 일반상선, 고부가가치 가스선, 해양관련 선박, 최신예 함정 등의 건조와 수소ㆍ암모니아 추진운반선을 개발하고 있으며, 해양플랜트사업은 원유 생산ㆍ저장설비 공사, 발전ㆍ화공플랜트공사를 수행함.
엔진기계사업은 대형엔진, 중형엔진, 육상용 엔진발전설비 등을 공급하고 있음.
출처 : 에프앤가이드"
KTis,"114전화번호안내, 고객센터",기타 정보 서비스업,"기업개요
당사는 2001년 (주)케이티의 114번호안내서비스 사업이 분사하여 설립되었으며, 컨택센터사업, 광고서비스 상품판매 사업, 유통사업을 주요사업으로 영위하고 있음.
컨택센터사업은 KT고객센터, 114번호안내센터, 일반컨택센터 사업으로 구성되어 있음.
광고서비스상품판매사업은 우선번호안내사업과 그 외 광고상품을 판매하고 있음. 유통사업은 KT통신상품 유통사업과 KT플라자 운영위수탁 사업을 함께 영위하고 있음.
출처 : 에프앤가이드"
LX홀딩스,지주회사,기타 금융업,"기업개요
동사는 인적분할로 설립된 신설회사로 2021년 5월 27일 유가증권시장에 재상장함.
별도사업을 영위하지 않는 순수지주회사의 성격을 취하고 있으며 LX인터내셔널, LX하우시스, LX MMA, LX세미콘의 4개의 국내자회사를 보유함.
각 자회사들은 주요사업으로 상품중개업(LX인터내셔널), 건축용 플라스틱 제품제조업(LX하우시스), 시스템반도체 IC 설계 및 제조업(LX세미콘), 기타 기초유기화합물 제조업(LX MMA)을 영위함.
출처 : 에프앤가이드"
STX,"에너지 원료(석탄,석유),산업기자재(기계부품) 도매",상품 종합 도매업,"기업개요
1976년에 설립된 동사는 에너지, 원자재 수출입, 기계/엔진, 해운/물류의 4대 사업을 중심으로 한 전문 무역상사임.
국내 계열회사로는 STX마린서비스(선박관리, 해양서비스), STX리조트( 리조트, 단체급식), 피케이밸브앤엔지니어링(밸브제조), STX바이오 등이 있음.
2014년 채권단과 경영정상화계획 이행 약정을 체결하였으며, 2018년 8월 채권단 지분매각으로 최대주주가 APC머큐리로 변경, 채권단 공동관리절차 종료됨.
출처 : 에프앤가이드"
국보,"화물자동차운송,콘테이너운송,수출입화물보관,도로운송,CY보관,하역",도로 화물 운송업,"기업개요
동사는 크게 물류사업(컨테이너 화물운송, 보관, 하역 등), 의류사업(골프 의류, 악세사리 도소매 등)을 영위하고 있음.
물류사업 종속기업으로는 케이티엘, 국보네트웍스가 있으며 의류사업으로는 보그인터내셔날이 있음.
매출구성은 물류 60.53%, 골프 의류 도소매 38.96%로 이루어져 있음. 최근 의류 서브 브랜드를 개시해 MZ세대를 겨냥한 다양한 제품을 출시하고 있음.
출처 : 에프앤가이드"
노루페인트,페인트 제조,기타 화학제품 제조업,"기업개요
동사는 주식회사 노루홀딩스에서 2006년 인적분할되어 설립되었고, 도료 제조 및 판매 등의 사업을 승계하였음.
동사가 생산하는 페인트 용도별 시장은 건축용, 공업용, 자동차보수용, 모바일용 등이 있음.
종속회사가 영위하는 사업으로는 PCM강판용 도료제조 및 판매, 도료 제조 및 판매, 도료 무역업, 페인트 및 도장장비 관련 부자재 도소매, 모바일 도료 제조 및 판매, 디자인 리서치 및 컨설팅 등이 있음.
출처 : 에프앤가이드"
대림통상,"수전금구,비데,위생도기,샤워부스,타일,양식기,무역",기타 금속 가공제품 제조업,"기업개요
동사는 수전금구, 비데와 감지기, 샤워부스 및 기타 건자재 등을 생산하여 수출 및 내수 판매하는 건자재 종합 전문기업임.
질, 기능, 디자인등 경쟁력 확보를 하여 품질경쟁력우수기업 23회 선정되었으며, 세계 3대 디자인 어워드에서 수상하는 등 뛰어난 품질 및 디자인으로 인정받음.
주요 고객으로는 한일상사, 진운하우징, Fortessa, Riobel, 쿠팡, 대림, 도비도스 등이 있음.
출처 : 에프앤가이드"
롯데지주,지주회사,기타 금융업,"기업개요
동사의 주요 자회사들이 영위하는 주요 사업으로는 백화점업(롯데쇼핑), 석유화학계 기초 화학물질 제조업(롯데케미칼), 빙과, 제빵 제품 및 건강 기능 식품제조업(롯데제과), 음료제조업(롯데칠성)이 있음.
영업수익은 자회사 및 기타 투자회사로부터의 배당수익, 상표권사용수익, 임대수익 등으로 구성.
동사의 핵심 자회사는 백화점, 할인점 등 유통업을 주력으로 하는 롯데쇼핑, 기초소재와 첨단소재 부문의 등 화학산업을 영위하는 롯데케미칼임.
출처 : 에프앤가이드"
삼부토건,"토목공사,건축공사,포장공사,건설업,분양사업/건설자재 제조",토목 건설업,"기업개요
동사는 국내건설업부문(삼부토건, 삼부르네상스, 삼부르네상스더힐), 해외건설업부문(삼부토건, 삼부파키스탄), 스틸사업부문(삼부토건), 기타사업부문(삼부토건)으로 운영됨.
2022년 도급순위 기준 70위 업체로 75년간의 풍부한 토목시공 경험을 토대로 항만, 댐, 도로, 지하철, 발전소 등에서 기술적 노하우와 시공실적을 보유함.
국내사업 부문에서는 도로공사, 지하철, 철도, 발전소 등의 생산 및 판매 제품이 있음.
출처 : 에프앤가이드"
삼성엔지니어링,"산업설비,건물,구축물,토목시설의 설계,시공,공사감리","건축기술, 엔지니어링 및 관련 기술 서비스업","기업개요
동사는 전 세계 플랜트 시장에서 활발한 사업을 전개하는 글로벌 EPC(설계, 구매, 시공) 전문기업임. 1970년 1월 20일에 설립되어 1996년 12월 24일 유가증권시장에 상장됨.
동사는 전 세계 플랜트 시장에서 플랜트 사업을 전개하고 있으며, 사업부문은 엔지니어링 업무 성격에 따라 화공과 비화공으로 구분하고 있음.
산업환경은 그룹 내 물량의 지속적인 발주가 이어지고, 해외 수처리 및 바이오 시장의 성장이 확대될 전망임.
출처 : 에프앤가이드"
삼익THK,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수",일반 목적용 기계 제조업,"기업개요
동사는 수공용 줄을 생산, 판매할 목적으로 1965년 설립되었으며, 이후 기타 기계 및 장비제품의 제조 및 판매 업종을 추가함.
산업설비자동화, 반도체 제조장비 및 시험장비 등에 필수요소 부품인 LM시스템과 LM가이드, 볼스크류, 서브모터, 감속기 등을 조합한 메카트로시스템 사업을 영위함.
동사는 주력품목인 LM시스템의 각종 적용 기술을 별도 기술지원홈페이지를 통하여 자료를 구축 및 고객 지원을 하고 있음.
출처 : 에프앤가이드"
삼호개발,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대",기반조성 및 시설물 축조관련 전문공사업,"기업개요
동사의 사업부문은 건설부문과 창업투자부문으로 나뉘고 있음.
고속도로 및 국도 등의 도로공사, 골프장조성공사, 지하철공사 등의 토목공사를 하고있으며, 본점(충남 당진)의 공장에서 골재를 생산, 판매함.
우수한 비지니스 모델을 갖고 있는 중소기업 및 벤처기업에 투자하여 자본, 경영관리, 기술정보, 마케팅 등을 종합적으로 지원함으로써 투자기업가치를 제고한 후 투자지분 처분을 통하여 투자수익을 실현.
출처 : 에프앤가이드"
시디즈,의자,가구 제조업,"기업개요
동사는 2010년 12월 15일에 설립되었으며 의자가구 제조업을 주요 사업으로 영위하고 있음.
생산된 주요 제품 등은 대리점, 백화점, 대형마트, 온라인쇼핑몰, 에이전트 등의 판매 경로를 통하여 국내외로 판매되고 있음.
현재 국내 의자 시장 점유율 및 브랜드 인지도 1위의 기업으로 자리잡았으며, 디자인과 기술력으로 차별화된 제품을 국내 의자 시장에 지속적으로 선보이고 있음.
출처 : 에프앤가이드"
