Company,items,industry,중분류,description
삼성에스디에스,"IT서비스, 물류BPO","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 1985년 5월 1일에 설립되었으며, 2014년 11월 14일 한국거래소에 주식을 상장한 공개법인임.
동사가 영위하고 있는 주된 사업은 IT서비스와 물류 2개 사업부문으로 구성되어 있으며, IT서비스는 크게 비즈니스 솔루션과 클라우드&ITO 서비스로 구분됨.
삼성관계사를 대상으로 MES(생산관리시스템), ERP(전사적 자원관리 시스템) 등을 성공적으로 구축하는 등 삼성 관계사의 IT서비스 최적화를 지속적으로 지원하고 있음.
출처 : 에프앤가이드"
카카오페이,"간편결제, 간편송금 및 기타 금융서비스",'금융 지원 서비스업',IT서비스,"기업개요
동사는 핀테크 기업으로서 2014년 9월 국내 최초로 간편결제 서비스를 시작하였고, 이후 송금, 청구서, 인증 등 다양한 서비스를 차례로 론칭함.
동사는 '마이데이터', '주식매매서비스', '디지털 손해보험사 출범' 등을 바탕으로 이용자에게 새롭고 혁신적인 금융 경험을 지속적으로 제공 중임.
그 외로도 대출, 투자, 보험 중개 등 금융 서비스로의 확장을 진행하고 있음.
출처 : 에프앤가이드"
포스코DX,"SI(System Integration), DVR(Digital Video Recorder)","'건축기술, 엔지니어링 및 관련 기술 서비스업'",IT서비스,"기업개요
동사는 소프트웨어 개발, 정보처리 및 정보통신서비스업 등을 영위할 목적으로 1989년 11월 15일에 설립되었으며 2000년 11월 28일 코스닥시장에 상장함.
동사는 IT와 OT융합 기술을 보유한 기업으로 철강분야를 주력으로 건설, 소재 등 다양한 산업 분야에서 핵심 ICT솔루션을 기반으로 Smart化 사업을 추진하고 있음.
4차 산업혁명 시대에 새로운 성장동력을 확보하기 위한 솔루션 사업을 적극적으로 추진하고 있음.
출처 : 에프앤가이드"
더존비즈온,응용 소프트웨어 개발 및 공급업,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 ERP, IFRS솔루션, 그룹웨어, 정보보호, 전자세금계산서 등 기업 정보화 소프트웨어 분야에서 필요한 각종 솔류션과 Service를 제공하며 고객의 경쟁력 강화에 기여하는 대한민국 대표 ICT기업임.
기업 정보화 솔루션의 자체 개발과 마케팅 및 서비스 회계프로그램 및 ERP, IFRS, 그룹웨어, 정보보안을 영위함.
기업용 솔루션 개발, 판매, 컨설팅, 구축, 유지보수 또한 사업 부문으로 있음.
출처 : 에프앤가이드"
카페24,"쇼핑몰솔루션, 광고솔루션, 호스팅솔루션","'자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업'",IT서비스,"기업개요
전 세계 전자상거래 시장에서 온라인 비즈니스를 영위하길 원하는 '판매자(Merchant)'를 대상으로 원스톱(One-stop) 이커머스 솔루션과 서비스를 제공하는 IT 플랫폼 기업.
오픈마켓 연동서비스는 쿠팡, 네이버 스마트 스토어 등 외에도 아마존, 라쿠텐 등과 같은 해외 현지 유력 마켓 플레이스와도 연동 가능.
'카페24 개발자센터', '카페24 스토어'를 통해 전자상거래 생태계 조성 및 플랫폼 고도화.
출처 : 에프앤가이드"
NICE,"기업신용분석,유가증권등급평정,기업정보,긍융정보,경제정보,소비자신용정보 제공,시장조사,사회여론조사,점외 CD/ATM사업",'회사 본부 및 경영 컨설팅 서비스업',IT서비스,"기업개요
금융 데이터 사업을 영위하는 NICE그룹 지주회사. 주요 상장 자회사는 NICE평가정보, 나이스정보통신, 한국전자금융 등.
자회사의 주식 또는 지분을 취득, 소유함으로써 자회사의 제반 사업내용을 지배, 경영지도, 정리 육성하는 지주사업을 주된 사업으로 영위함.
기업 및 개인신용정보 부문 주력 자회사인 NICE평가정보는 개인, 기업 신용정보를 통해 안정적으로 성장하는 비즈니스를 영위.
출처 : 에프앤가이드"
DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사의 사업 부문은 연결대상회사이자 주요종속회사인 디비에프아이에스를 포함하여 크게 IT분야의 SI 및 ITO서비스 중심의 IT사업부문이 있음.
화학 및 철강제품 등의 무역업을 영위하는 무역사업부문, 'DB' 상표권 관리를 비롯해 그룹의 브랜드와 광고 활동을 총괄하는 브랜드사업부문으로 구성되어 있음.
어플리케이션 사업은 고객 비즈니스에 중요한 상품관리, 고객관리, 정보관리 등의 업무를 처리하는 어플리케이션을 안정적으로 운영함.
출처 : 에프앤가이드"
케이아이엔엑스,인터넷연동서비스 등,"'자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업'",IT서비스,"기업개요
동사는 2000년 설립되어 기업 고객을 대상으로 인터넷연동 서비스, 인터넷데이터센터 서비스, 컨텐츠전송네트워크 서비스 및 클라우드 서비스를 제공하는 인터넷인프라서비스 사업을 영위하고 있음.
주요 종속회사인 (주)에스피소프트는 국내 MS SPLA 유통의 약 70%를 책임지고 있는 공식 SPLA 파트너(SPLAR)임.
동사는 클라우드 시장을 선점하기 위해 클라우드기반의 호스팅서비스를 개발하고 있음.
출처 : 에프앤가이드"
대아티아이,"EDMS(Enterprise Document Management System)-전사적문서관리시스템,KMS-지식경영시스템",'기타 전기장비 제조업',IT서비스,"기업개요
동사는 철도신호제어 시스템 개발 및 공급업을 주 사업으로 영위하는 기업임.
경부고속철도 KTX 1단계(서울-동대구)구간과 2단계(동대구-부산)구간, 호남고속철도, 수도권고속철도를 모두 수용하는 고속철도 관제시스템을 구축했음.
연결대상 종속회사들은 철도신호관련 용역, 기타서비스업 등을 영위함. 기존의 온라인 광고대행업 종속회사들은 핵심 사업에 집중하고자 매각했음.
출처 : 에프앤가이드"
율호,무선인터넷플랫폼,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 1998년 설립되어 현재 스토리지, 서버, 백업 및 관리 솔루션의 공급 및 이에 따른 유지보수를 지원을 주력사업으로 하고 있음.
동사는 Dell Technologies의 Titanium Tire 1 파트너로 스토리지 및 서버 등의 제품을 제공하고 있음.
동사는 글로벌 업체인 Quest Software의 정책과 프로세스에 대한 깊은 이해를 가지며 해당 분야에 10년 이상의 경력을 가진 전문가 그룹으로 구성되어 있음.
출처 : 에프앤가이드"
신세계,"백화점,할인점(E마트)",'종합 소매업',IT서비스,"기업개요
동사는 1955년 동화백화점으로 설립되어 1985년 유가증권시장에 상장되어 매매가 개시됨.
사업 영역은 백화점사업, 패션 및 라이프스타일, 화장품 제조 및 도소매사업, 면세점사업, 부동산 및 여객터미널업, 관광호텔업, 가구소매업으로, 영상컨텐츠사업, 벤처캐피탈사업으로 세분화 됨.
신세계센트럴시티, 신세계동대구복합환승센터, 신세계인터내셔날, 까사미아, 서울고속버스터미널 등을 연결대상 종속회사로 보유함.
출처 : 에프앤가이드"
롯데정보통신,"SM, SI","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사와 연결종속회사가 영위하고 있는 사업은 SM(System management) 사업 및 SI(System Integration) 사업으로 구성되어 있음.
동사의 SM사업은 롯데 그룹 내 유통, 식품, 화학, 서비스 등의 다양한 산업군을 아우르고 있으며, IT시스템을 안정적으로 운영 중임.
한편 SI사업의 경우 영업·제안 역량을 집중하여 SOC, 금융, 민간 기업의 SI사업과 ASP사업에도 영역을 확장하고 있음.
출처 : 에프앤가이드"
헥토이노베이션,휴대폰부가서비스,'기타 정보 서비스업',IT서비스,"기업개요
동사는 2009년 3월 19일 설립되었으며, 2015년 6월 30일 코스닥 시장에 주식을 상장하였음.
개인정보보안 중심의 2차 본인인증 및 보안서비스와 다양한 생활서비스를 개발 및 운영하는 것을 주된 사업으로 하고 있으며 이동통신사 부가서비스 형태로 주된 매출이 발생함.
퍼블리싱 사업과 1차 본인인증 운영까지 사업영역을 확대하는 것은 물론 강력한 마케팅 역량을 바탕으로 독점적인 IT서비스 비즈니스 플랫폼을 구축하고 있음.
출처 : 에프앤가이드"
한국전자금융,"ATM관리사업,CD-VAN사업",'기타 사업지원 서비스업',IT서비스,"기업개요
CD VAN 관리, ATM 관리 등 금융기관 자동화기기 종합관리를 위해 2000년 한국신용정보의 금융사업본부가 분사되어 설립.
ATM 관리 사업은 은행이 설치하여 운영하고 있는 무인점포와 점포 외 CD/ATM기기의 종합관리 업무를 일괄적으로 수행하는 금융서비스업임.
금융 자동화기기 관리 외에 주차장의 위탁관리 및 무인운영 서비스를 제공하는 무인주차사업과 무인자동화기기(KIOSK) 사업을 신규 사업으로 영위함.
출처 : 에프앤가이드"
APS,인터넷 트래픽 솔루션,'기타 금융업',IT서비스,"기업개요
동사는 1994년 9월 반도체장비, LCD장비, 콘트롤기기 및 소프트웨어 제조업을영위할 목적으로 설립되었음.
TFT-LCD는 진입장벽이 매우 높은 산업으로 대규모 연구개발 비용 소요와 장비 대형화에 따른 인프라 구축을 위해 대규모의 자금력이 요구됨.
동사는 디스플레이 및 반도체 장비 제조와 판매를 담당하는 장비사업부문을 신설회사인 사업회사로 이전하였으며, 분할 존속회사로 자회사 지분의 관리 및 투자 부문을 담당하고 있음.
출처 : 에프앤가이드"
에스트래픽,"교통관련 솔루션 개발, 시스템통합 S/W 개발","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 2013년 1월 25일 설립되었으며 교통(도로/철도)관련 SI(System Integration)를 주요사업영역으로 하고 있음.
시스템의 업그레이드 및 유지관리를 주요 영위사업으로 두고 있음.
동사는 유인 요금수납 시스템(TCS), 하이패스시스템(ETCS), 교통카드정산을 위한 솔루션 등을 개발하고 시스템을 설치 구현하여 도로 이용자들에게 스마트한 교통환경을 제공하고 있음.
출처 : 에프앤가이드"
