Company,items,industry,중분류,description
현대오토에버,"전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2000년 4월 10일에 설립되어 정보시스템 기획(IT 컨설팅), 시스템 구축, 운영 및 유지보수 등의 IT 서비스 사업과 차량 SW 플랫폼, 내비게이션 SW 등을 포함한 차량용 SW 사업을 영위하고 있음.
사용자가 필요로 하는 정보시스템에 관한 기획(IT 컨설팅)에서부터 구축, 운영, 유지보수까지 전 과정을 수행하는 IT 서비스 제공.
차량용 SW 부문은 BSW, 내비게이션 SW 등을 포함한 차량용 SW 사업을 영위.
출처 : 에프앤가이드"
엠로,"기업용 공급망관리 소프트웨어, AI 디지털혁신 소프트웨어, 공급망관리 클라우드 서비스",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2000년 설립 이후 공급망관리 전 영역에 대한 full coverage 소프트웨어를 개발 및 공급해오고 공급망관리 소프트웨어 시장 1위 기업임.
동사는 지속적인 연구개발을 통해 2019년 AI 및 클라우드 서비스를 출시함.
AI 특허 기술을 바탕으로 Item Master Lifecycle 관리, 신규 프로젝트 최적 견적가 산정, 지능형 수요예측 및 재고관리 등 다양한 AI 소프트웨어를 선보이고 있음.
출처 : 에프앤가이드"
안랩,바이러스백신 프로그램,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1995년 설립되어 컨설팅-솔루션-관제 등 시큐리티 라이프 사이클 상의 기술과 서비스를 제공하는 통합보안업체임.
솔루션 분야는 대표제품인 V3 제품군을 비롯해 온라인 보안 서비스, 모바일 보안 솔루션, 네트워크 보안 장비 등 정보 네트워크 환경에 적합한 보안 솔루션을 개발 공급하고 있음.
서비스 분야는 보안 컨설팅과 보안 관제 등이 있으며, 정부 지정 정보보호컨설팅전문업체로서 서비스를 제공하고 있음.
출처 : 에프앤가이드"
솔트룩스,인공지능 및 빅데이터 소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 1981년 8월에 설립되었으며, B2B 및 B2G 인공지능·빅데이터 솔루션을 프로젝트 수주하여 구축 혹은 클라우드 기반으로 서비스 하는 사업을 영위.
대화형 인공지능, 증강분석 빅데이터 사업 및 인공지능 클라우드 서비스 분야의 사업을 전개하고 있음.
ICC SaaS 사업, 초개인화 AI 서비스, AI 기반 유전체 분석 및 신약 사업, 메타휴먼 사업의 신규 사업을 추진하고 있음.
출처 : 에프앤가이드"
코난테크놀로지,"소프트웨어(인공지능,빅데이터,자연어처리,검색엔진,대화형챗봇,음성합성,음성인식) 연구개발 및 공급, 정보통신서비스",'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 주요 기반기술을 기준으로 4제품군, 7제품으로 라인업 하고 있으며 4제품군은 딥컨버세이셔널에이전트[코난챗봇], 딥비전[코난와처], 딥스피치[코난보이스],[코난리스너] 그리고 딥텍스트애널리틱스가 있음.
딥텍스트애널리틱스 제품군 하위에 4개의 상용제품 [코난서치], [코난애널리틱스], [펄스케이]이 포함되어 판매 중임.
스마트워크와 스마트라이프 실현을 위해 AI제품/서비스를 라인업해 나가고 있음.
출처 : 에프앤가이드"
폴라리스오피스,시스템 소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 폴라리스 오피스(Polaris Office), 모바일 백신솔루션 (V-Guard), Atlassian 솔루션, 모바일 게임 사업 부문을 영위하고 있음.
단말기나 이동통신사 앱스토어의 보안 검증을 위한 플랫폼 개발 및 유지 보수를 하는 보안 플랫폼 사업을 영위함.
폴라리스 오피스 클라우드 서비스는 2022년 9월말 기준 243개국 1.2억명의 가입자를 확보한 상태로 사용자가 지속적으로 증가하고 있음.
출처 : 에프앤가이드"
한글과컴퓨터,오피스소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 소프트웨어 개발 및 공급업을 목적으로 1990년 10월 11일에 설립되었으며, 1996년 9월 24일자로 상장되어 코스닥시장에서 매매가 개시됨.
한컴오피스 소프트웨어를 중심으로 오피스SW 및 솔루션 개발 및 판매를 주요 사업으로 하고 있음.
종속회사 한컴라이프케어는 보호복, 호흡기, 마스크 등 개인보호장비(PPE) 분야를 주요사업군으로 집중하며, 공기호흡기 등 안전장비 분야에서는 압도적인 입지를 구축해왔음.
출처 : 에프앤가이드"
슈어소프트테크,소프트웨어 자동화 검증 플랫폼,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 2002년 3월에 설립되어 소프트웨어의 안전성을 검증하기 위한 자동화 도구 개발 및 공급, 제 3자 검증 서비스를 사업을 영위하고 있음.
기능안전 국제표준에 근거하여 개발 과정에 따라 정의된 검증 활동이 필수적으로 요구되고, 당사는 필수 검증 활동을 자동화하는 소프트웨어 원천 기술 및 3자 검증 서비스 기술력을 보유.
주요제품으로는 코드검증 솔루션, 시스템검증 솔루션, 모델검증 솔루션, 미래기술검증 솔루션이 있음.
출처 : 에프앤가이드"
다날,모바일콘텐츠 및 유무선전화결제,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 소프트웨어 개발, 수출 및 판매 등을 영위할 목적으로 1997년 7월 설립되어 2004년 7월 코스닥시장에 상장됨.
휴대폰 결제 서비스를 주 사업으로 국내 뿐 아니라 해외에서도 결제 및 인증사업을 진행하고 있으며, 온/오프라인 휴대폰 결제를 비롯하여, 신용카드, 바코드 결제 등의 커머스사업을 진행하고 있음.
연결종속회사들의 사업부문은 디지털콘텐츠부문, 프랜차이즈부문, 렌탈서비스부문으로 구별됨.
출처 : 에프앤가이드"
KG이니시스,전자지불서비스,'소프트웨어 개발 및 공급업',소프트웨어,"기업개요
동사는 전자지불결제대행업(PG)을 주 사업으로 영위함. 쇼핑몰등 인터넷상에서 지불결제가 필요한 업체에게 지불결제시스템을 구축해 주고 지불승인과 매입, 대금정산 등의 업무를 지원하는 서비스임.
국내 전자결제시장 선두주자이며 NHN한국사이버결제, 토스페이먼츠 등이 주요 경쟁기업임.
동사는 사업부문으 프랜차이즈음식점을 운영하는 요식업 부문, 교원 임용시험 등 학원 및 온라인 강좌, 교재 사업을 하는 교육사업 부문 등을 보유함.
출처 : 에프앤가이드"
